ZDMC,ZFY
1型糖尿病,710.28
2型糖尿病,1503.0
C67.900,1395.27
EB病毒感染,15179.67
IgA肾病,1652.11
M35.901,6609.48
R50.900,4196.27
Z999032,12780.09
Ⅱ度子宫脱垂,2269.26
一氧化碳中毒,2460.862857142857
一氧化碳毒性效应,1255.51
三叉神经痛,5729.493333333333
上呼吸道,68.94500000000001
上呼吸道恶性肿瘤,11.603333333333333
上呼吸道感染,90.11071428571427
上呼吸道疾病,83.6222727272728
上消化道出血,1791.405
上消化道穿孔,1252.58
上睑下垂,2525.86
上肢损伤,657.4444444444445
上肢残端修整,2102.43
上肢皮肤感染,426.795
上肢蜂窝织炎,727.13
上肢骨折,2663.62
上腹痛,36.66799999999999
上颌骨囊肿,4381.24
上颌骨骨折,2118.99
下肢关节和韧带劳损,7.09
下肢动脉栓塞,854.29
下肢动脉硬化闭塞症,16568.305
下肢动脉血栓形成,654.96
下肢局部肿物,722.45
下肢损伤,3396.033333333333
下肢皮肤感染,974.14
下肢肌肉损伤,241.13
下肢血栓性静脉炎,184.18
下肢静脉功能不全伴静,3823.51
下肢静脉曲张,1567.89
下肢静脉曲张伴皮炎,6102.91
下肢静脉炎,64.0
下肢静脉血栓形成,1487.88
下腔静脉血栓形成,1991.81
下颌骨囊肿,704.44
不伴有精神病性症状的重度抑郁发作,3422.17
不稳定型心绞痛,12697.675000000001
不稳定性心绞痛,1664.28
与不想要妊娠有关问题,32.0
丙型病毒性肝炎,741.49
中度抑郁发作,46.739999999999995
中枢性性早熟,2995.49
中枢神经系统脱髓鞘病,6677.46
中耳炎,464.15200000000004
丹毒,730.97
主动脉夹层,24463.075
主动脉夹层B型,23778.91
主动脉夹层［任何部分］,5712.27
主动脉弓狭窄,167191.17
主动脉瓣关闭不全,51511.65
主动脉瓣和二尖瓣特指先天性畸形,18338.08
主动脉缩窄,11703.17
乙型病毒性肝炎,457.23988764044935
乙型肝炎小三阳,1666.59
乙状结肠恶性肿瘤,6309.58
乳头状瘤,7324.96
乳房结节,2706.09
乳房肿块,2060.93
乳房肿物,1148.74
乳房良性肿瘤,3280.605
乳牙滞留,9.695
乳糜性腹水,2605.5
乳腺原位癌,274.98
乳腺增生,6824.8150000000005
乳腺恶性肿瘤,2909.22243902439
乳腺恶性肿瘤，上部,10162.54
乳腺炎,16.65
乳腺癌,1224.89
乳腺纤维囊性增生,3111.76
乳腺肿瘤,2996.8464705882357
乳腺脓肿,9548.26
乳腺腺病,3039.895
乳腺良性肿瘤,2351.91
乳腺良性肿瘤_乳腺肿物切除术,2219.185
二尖瓣疾病,27088.66
二尖瓣返流,30421.0
产前筛查,584.31
产后即时出血,5332.8099999999995
